id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4124,2026-07-19T23:00:00Z,Health Bill,Title: Health Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.9
1506,2015-03-29T23:00:00Z,Mental Health Act 1983 (Amendment) Bill,Title: Mental Health Act 1983 (Amendment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,15.33
1422,2015-03-29T23:00:00Z,National Health Service (Amended Duties and Powers) Bill,Title: National Health Service (Amended Duties and Powers) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.28
1519,2015-03-29T23:00:00Z,National Health Service and Care Sector Workers (Credit Union and High Cost Credit) Bill,Title: National Health Service and Care Sector Workers (Credit Union and High Cost Credit) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.2,16.82
1497,2015-03-29T23:00:00Z,"Service Charges, Gratuities and Cover Charges (Hospitality, Leisure and Service Sectors) (Statutory Code) Bill","Title: Service Charges, Gratuities and Cover Charges (Hospitality, Leisure and Service Sectors) (Statutory Code) Bill | Summary: No summary available | Description: No description available",UK_Parliament_Bills_Enriched_Corpus,2.6,21.06
1419,2015-03-27T00:00:00Z,Health and Social Care (Safety and Quality) Act 2015,Title: Health and Social Care (Safety and Quality) Act 2015 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.6,15.22
1430,2015-03-27T00:00:00Z,Health Service Commissioner for England (Complaint Handling) Act 2015,Title: Health Service Commissioner for England (Complaint Handling) Act 2015 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.05,16.99
1292,2014-05-14T23:00:00Z,Access to Mental Health Services Bill,Title: Access to Mental Health Services Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.03
1329,2014-05-14T23:00:00Z,Community Hospitals Bill,Title: Community Hospitals Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.15,18.53
1295,2014-05-14T23:00:00Z,Freedom of Information (Private Healthcare Companies) Bill,Title: Freedom of Information (Private Healthcare Companies) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.95,18.31
1294,2014-05-14T23:00:00Z,Medical Innovation (No. 2) Bill,Title: Medical Innovation (No. 2) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.55,14.08
1324,2014-05-14T23:00:00Z,Mental Health Outcomes (Measurement) Bill,Title: Mental Health Outcomes (Measurement) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.46
1367,2014-05-14T23:00:00Z,National Health Service (Right to Treatment) Bill,Title: National Health Service (Right to Treatment) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.35,15.69
1186,2013-12-03T00:00:00Z,Health and Social Care (Amendment) (Food Standards) Bill [HL],Title: Health and Social Care (Amendment) (Food Standards) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.2,15.22
1196,2013-05-16T23:00:00Z,National Health Service (Amended Duties and Powers) Bill [HL],Title: National Health Service (Amended Duties and Powers) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16.99
998,2013-04-29T23:00:00Z,Mental Health (Discrimination) Bill [HL],Title: Mental Health (Discrimination) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.3,17.2
1082,2013-04-25T23:00:00Z,NHS Audit Requirements (Foreign Nationals) Bill,Title: NHS Audit Requirements (Foreign Nationals) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.55,17.42
