id,date,title,clean_text,corpus_source,sentiment_score,readability_index
4162,2026-06-18T00:00:00Z,First Cousins (Prohibited Relationships) Bill,Title: First Cousins (Prohibited Relationships) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.25,18.68
4169,2026-06-18T00:00:00Z,Group-based Child Sexual Offences (Mandatory Life Sentences) Bill,Title: Group-based Child Sexual Offences (Mandatory Life Sentences) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.17
4159,2026-06-18T00:00:00Z,Heritage Public Houses Bill,Title: Heritage Public Houses Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.01
4161,2026-06-18T00:00:00Z,Homes and Planning Bill,Title: Homes and Planning Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,14.65
4178,2026-06-18T00:00:00Z,Hospice Funding Bill,Title: Hospice Funding Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,16
4156,2026-06-18T00:00:00Z,"Infants, Parents and Carers Bill","Title: Infants, Parents and Carers Bill | Summary: No summary available | Description: No description available",UK_Parliament_Bills_Enriched_Corpus,0.8,15.73
4173,2026-06-18T00:00:00Z,Planning (Solar Power Generation) Bill,Title: Planning (Solar Power Generation) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.45,17.94
4171,2026-06-18T00:00:00Z,Relationships and Sex Education (Further Education Sector) Bill,Title: Relationships and Sex Education (Further Education Sector) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.15,19.77
4163,2026-06-18T00:00:00Z,Strategic Litigation Against Public Participation Bill,Title: Strategic Litigation Against Public Participation Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.5,20.89
4179,2026-06-18T00:00:00Z,Work Experience (Schools) Bill,Title: Work Experience (Schools) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.05,16.22
4153,2026-06-17T00:00:00Z,Local Elections (Proportional Representation) Bill [HL],Title: Local Elections (Proportional Representation) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.2,20.19
3381,2026-06-17T00:00:00Z,Royal Albert Hall Bill [HL],Title: Royal Albert Hall Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.99
4155,2026-06-17T00:00:00Z,Strategic Litigation Against Public Participation Bill [HL],Title: Strategic Litigation Against Public Participation Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.5,20.27
3897,2026-06-15T00:00:00Z,Malvern Hills Bill [HL],Title: Malvern Hills Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.65
4147,2026-06-12T00:00:00Z,Infant (Born Alive) Protection Bill [HL],Title: Infant (Born Alive) Protection Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,2.7,16.03
4148,2026-06-12T00:00:00Z,Regulated Professions (Freedom of Speech) Bill [HL],Title: Regulated Professions (Freedom of Speech) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,17
3168,2026-06-11T00:00:00Z,Identity and Language (Northern Ireland) Act 2022,Title: Identity and Language (Northern Ireland) Act 2022 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,17.65
4144,2026-06-10T00:00:00Z,Complications from Abortions (Annual Report) Bill [HL],Title: Complications from Abortions (Annual Report) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.31
4134,2026-06-05T00:00:00Z,European Union (Withdrawal Arrangements) Bill [HL],Title: European Union (Withdrawal Arrangements) Bill [HL] | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,18.8
3094,2026-05-15T00:00:00Z,High Speed Rail (Crewe - Manchester) Bill,Title: High Speed Rail (Crewe - Manchester) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,14.64
4002,2026-05-14T00:00:00Z,English Devolution and Community Empowerment Act 2026,Title: English Devolution and Community Empowerment Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.8,19.62
4046,2026-05-14T00:00:00Z,National Insurance Contributions (Employer Pensions Contributions) Act 2026,Title: National Insurance Contributions (Employer Pensions Contributions) Act 2026 | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,0.8,21.01
3923,2026-05-13T00:00:00Z,Marine Protected Areas (Bottom Trawling) (England) Bill,Title: Marine Protected Areas (Bottom Trawling) (England) Bill | Summary: No summary available | Description: No description available,UK_Parliament_Bills_Enriched_Corpus,1.6,18.31
